"patent_id"	"latin_name"	"plant_variety"
"PP27044"	"Petunia hybrida"	"KLEPH14267"
"PP29237"	"Humulus lupulus L."	"Furano 0802D go"
"PP22119"	"Chrysanthemum×morifolium"	"Dekcatalina"
"PP26473"	"Rhipsalidopsis Britton et Rose"	"PKMRhips09"
"PP25512"	"Begonia hybrid"	"Enchanted Evening"
"PP27946"	"Caladium×hortulanum"	"Flatter Me"
"PP26214"	"Chamelaucium uncinatum"	"NIR EDEN"
"PP31781"	"Begonia boliviensis"	"Dobegicpochamp"
"PP33701"	"Rubus subgenus Rubus Watson"	"A-2524T"
"PP24512"	"Fragaria×ananassa"	"Buddy"
"PP21979"	"Angelonia angustifolia"	"DANALON5"
"PP31131"	"Chrysanthemum x morifolium"	"CIDZ0092"
"PP35993"	"Lewisia cotyledon"	"LOCORA3519"
"PP36294"	"Alocasia macrorrhizos"	"AMILAPGO"
"PP35683"	"Hydrangea paniculata"	"HP221906"
"PP24356"	"Primula acaulis"	"K22"
"PP31197"	"Rubus idaeus hybrid"	"emr 20171"
"PP20467"	"Dracaena reflexa lam."	"Song of Costa Rica"
"PP25626"	"Plectranthus scutellarioides"	"UF12-35-9"
"PP30666"	"Fraxinus greggii"	"Libby Davidson"
"PP34552"	"Rudbeckia hirta L."	"BullRudi 15"
"PP19172"	"Impatiens hawkeri"	"Fisnics Salice"
"PP33207"	"Hydrangea paniculata"	"SMNHPH"
"PP29411"	"Pelargonium peltatum"	"KLEPP16381"
"PP16281"	"Chrysanthemum×morifolium"	"Sunny Yoursula"
"PP16920"	"Pelargonium×hortorum"	"Genfipurple"
"PP23601"	"Rosa hybrid"	"Poulcy017"
"PP29555"	"Camellia japonica x Camellia changii"	"HA0326"
"PP35436"	"Malus Mill"	"D2212"
"PP21883"	"Hibiscus hybrid (L.)"	"Pink Elephant"
"PP36094"	"Petunia X hybrida"	"Dopetpotbluvei"
"PP35647"	"Plectranthus hybrid"	"De Wet P"
"PP16940"	"Verbena×hybrida"	"Suntapilavepi"
"PP16360"	"Lilium hybrida"	"Mount Dragon"
"PP19729"	"Scaevola aemula"	"Wesscaetopi"
"PP23531"	"Vitis vinifera"	"IFG Six"
"PP16146"	"Chrysanthemum×morifolium"	"Warm Yoursula"
