"","Accepted_name"
"1","Euphorbia theriaca"
"2","Euphorbia thymifolia"
"3","Euphorbia trachysperma"
"4","Euphorbia vallis-mortae"
"5","Euphorbia velleriflora"
"6","Euphorbia vermiculata"
"7","Euphorbia villifera"
"8","Epilobium angustifolium"
"9","Epilobium angustifolium subsp. circumvagum"
"10","Epilobium latifolium"
"11","Chapmannia floridana"
"12","Chaptalia albicans"
"13","Chaptalia dentata"
"14","Chaptalia texana"
"15","Chaptalia tomentosa"
"16","Chasmanthium latifolium"
"17","Chasmanthium laxum"
"18","Chasmanthium nitidum"
"19","Chasmanthium ornithorhynchum"
"20","Chasmanthium laxum"
"21","Myriopteris x parishii"
"22","Hemionitis aemula"
"23","Hemionitis alabamensis"
"24","Hemionitis bonariensis"
"25","Hemionitis clevelandii"
"26","Hemionitis cooperae"
"27","Hemionitis covillei"
"28","Hemionitis eatonii"
"29","Hemionitis feei"
"30","Hemionitis fendleri"
"31","Hemionitis gracillima"
"32","Hemionitis aspera"
"33","Hemionitis intertexta"
"34","Hemionitis feei"
"35","Hemionitis lendigera"
"36","Hemionitis leucopoda"
"37","Hemionitis lindheimeri"
"38","Hemionitis pteridioides"
"39","Hemionitis newberryi"
"40","Hemionitis nudiuscula"
"41","Hemionitis parryi"
"42","Hemionitis pringlei"
"43","Hemionitis bradburyi"
"44","Hemionitis villosa"
"45","Hemionitis viscida"
"46","Hemionitis wootonii"
"47","Hemionitis wrightii"
"48","Hemionitis yavapensis"
"49","Ophioglossum palmatum"
"50","Cheirostylis raymundi"
"51","Chelone cuthbertii"
"52","Chelone glabra"
"53","Chelone lyonii"
"54","Chelone obliqua"
"55","Chelone obliqua var. erwiniae"
"56","Chelone obliqua var. obliqua"
"57","Chelone obliqua var. speciosa"
"58","Chenopodium x variabile"
"59","Chenopodium album var. missouriense"
"60","Chenopodium album var. album"
"61","Chenopodium betaceum"
"62","Chenopodium atrovirens"
"63","Chenopodium berlandieri"
"64","Chenopodium berlandieri var. berlandieri"
"65","Chenopodium berlandieri var. boscianum"
"66","Chenopodium berlandieri var. bushianum"
"67","Chenopodium berlandieri var. macrocalycium"
"68","Chenopodium berlandieri var. sinuatum"
"69","Chenopodium berlandieri var. zschackei"
