"","Name_submitted","Accepted_name","patent_id","plant_variety"
"1","Rubus subgenus Rubus Watson","Rubus pensilvanicus","PP33701","A-2524T"
"2","Rubus subgenus Rubus Watson","Rubus pensilvanicus","PP34867","APF-268"
"3","Rubus subgenus Rubus Watson","Rubus pensilvanicus","PP33140","A-2491T"
"4","Rubus subgenus Rubus Watson","Rubus pensilvanicus","PP32965","A-2454T"
"5","Rubus subgenus Rubus Watson","Rubus pensilvanicus","PP22449","APF-45"
"6","Rubus subgenus Rubus Watson","Rubus pensilvanicus","PP28598","APF-190T"
"7","Rubus subgenus Rubus Watson","Rubus pensilvanicus","PP27401","APF-122"
"8","Rubus subgenus Rubus Watson","Rubus pensilvanicus","PP26990","APF-153T"
"9","Rubus subgenus Rubus Watson","Rubus pensilvanicus","PP25864","A-2312"
"10","Rubus subgenus Rubus Watson","Rubus pensilvanicus","PP24249","APF-77"
"11","Rubus subgenus Rubus Watson","Rubus pensilvanicus","PP33115","Caddo"
"12","Rubus subgenus Rubus Watson","Rubus pensilvanicus","PP31690","APF-205T"
"13","Rubus subgenus Rubus Watson","Rubus pensilvanicus","PP33329","APF-238T"
"14","Rubus subgenus Rubus Watson","Rubus pensilvanicus","PP35368","APF-404T"
"15","Rubus subgenus Rubus Watson","Rubus pensilvanicus","PP26120","Osage"
"16","Rubus subgenus Rubus Watson","Rubus pensilvanicus","PP33330","Ponca"
"17","Rubus subgenus Rubus Watson","Rubus pensilvanicus","PP35552","APF-409T"
"18","Rubus subgenus Rubus Watson","Rubus pensilvanicus","PP26405","A-1960"
"19","Fragaria×ananassa","Fragaria x ananassa","PP24512","Buddy"
"20","Fragaria×ananassa","Fragaria x ananassa","PP26974","Lucia"
"21","Fragaria×ananassa","Fragaria x ananassa","PP25794","Verity"
"22","Fragaria×ananassa","Fragaria x ananassa","PP23107","DrisStrawEighteen"
"23","Fragaria×ananassa","Fragaria x ananassa","PP22247","DrisStrawSixteen"
"24","Fragaria×ananassa","Fragaria x ananassa","PP15752","Driscoll Osceola"
"25","Fragaria×ananassa","Fragaria x ananassa","PP17381","La Cle des Champs"
"26","Fragaria×ananassa","Fragaria x ananassa","PP18458","DrisStrawOne"
"27","Fragaria×ananassa","Fragaria x ananassa","PP16238","Driscoll El Dorado"
"28","Fragaria×ananassa","Fragaria x ananassa","PP18878","DrisStrawTwo"
"29","Fragaria×ananassa","Fragaria x ananassa","PP25866","DrisStrawThirtySeven"
"30","Fragaria×ananassa","Fragaria x ananassa","PP24533","DrisStrawThirtyThree"
"31","Fragaria×ananassa","Fragaria x ananassa","PP15731","Driscoll Agoura"
"32","Fragaria×ananassa","Fragaria x ananassa","PP20731","DrisStrawEleven"
"33","Fragaria×ananassa","Fragaria x ananassa","PP23378","DrisStrawTwentyFour"
"34","Fragaria×ananassa","Fragaria x ananassa","PP26210","Dream"
"35","Fragaria×ananassa","Fragaria x ananassa","PP28470","Flame"
"36","Fragaria×ananassa","Fragaria x ananassa","PP16480","L'Amour"
"37","Fragaria×ananassa","Fragaria x ananassa","PP29441","Opera"
"38","Fragaria×ananassa","Fragaria x ananassa","PP19763","Galletta"
"39","Fragaria×ananassa","Fragaria x ananassa","PP23517","DrisStrawTwentyTwo"
"40","Fragaria×ananassa","Fragaria x ananassa","PP28341","Yoli"
"41","Fragaria×ananassa","Fragaria x ananassa","PP26874","SSL 93"
"42","Fragaria×ananassa","Fragaria x ananassa","PP24511","Cristina"
"43","Fragaria×ananassa","Fragaria x ananassa","PP24317","DrisStrawThirtyOne"
"44","Fragaria×ananassa","Fragaria x ananassa","PP19767","Monterey"
"45","Fragaria×ananassa","Fragaria x ananassa","PP20922","DrisStrawSeven"
"46","Fragaria×ananassa","Fragaria x ananassa","PP17404","MNUS 138"
"47","Fragaria×ananassa","Fragaria x ananassa","PP20648","DONNA"
"48","Fragaria×ananassa","Fragaria x ananassa","PP23459","DrisStrawTwentyEight"
"49","Fragaria×ananassa","Fragaria x ananassa","PP25437","DrisStrawThirtyEight"
"50","Fragaria×ananassa","Fragaria x ananassa","PP26289","Sahara"
"51","Fragaria×ananassa","Fragaria x ananassa","PP15552","Bish"
"52","Fragaria×ananassa","Fragaria x ananassa","PP24745","DrisStrawThirtyFive"
"53","Fragaria×ananassa","Fragaria x ananassa","PP26802","DrisStrawFortyTwo"
"54","Fragaria×ananassa","Fragaria x ananassa","PP19240","DrisStrawFour"
"55","Fragaria×ananassa","Fragaria x ananassa","PP16241","Driscoll Pearl"
